Student_ID,Branch,Year,Gender,Has_Internship,Startup_Interest,Startup_Timeline,Preferred_Domain,Tech_Skill_Score_1to5,Biz_Skill_Score_1to5,Avg_Skill_Score,Top_Tech_Skills,Top_Biz_Skills,Risk_Appetite,Primary_Barrier,Additional_Barriers,Funding_Awareness,Preferred_Funding_Source,Incubators_Known,Willing_to_Leave_Job,Took_Entrepreneurship_Course,Readiness_Score_0to10
STU0134,Computer Science,Fourth Year,Male,Yes,Neutral,After 5+ Years,SaaS,4,2,3.0,"Cybersecurity, App Development, Data Analysis","Leadership, Marketing, Networking",Medium,Prefer Job Security,Unclear Market Opportunity,Medium,"Crowdfunding, Venture Capital","None, IIT TBI",Maybe,No,5.7
STU0135,Computer Science,First Year,Male,Yes,Somewhat Interested,Never,EdTech,4,2,3.0,AI / Machine Learning,"Networking, Financial Planning",Medium,Lack of Funding,"Lack of a Good Idea, Lack of Business Knowledge",High,"Government Grants, Venture Capital","None, YCombinator",No,No,6.7
STU0136,BBA,Third Year,Male,No,Very Interested,Right After Graduation,FinTech,3,5,4.0,"Data Analysis, Cybersecurity","Financial Planning, Sales, Marketing",High,No Co-founder / Team,"Lack of Business Knowledge, Prefer Job Security",High,College Incubator,"Startup India, YCombinator",Maybe,Yes,8.6
STU0137,Computer Science,Fourth Year,Male,No,Neutral,After 2-3 Years of Job,EdTech,4,2,3.0,Cybersecurity,Sales,Medium,Prefer Job Security,Lack of a Good Idea,Low,"Bootstrapping, Angel Investors","YCombinator, IIT TBI",No,No,4.8
STU0138,BBA,Second Year,Male,No,Somewhat Interested,During College,E-commerce,2,5,3.5,"Programming / Coding, Web Development","Sales, Financial Planning, Leadership",Low,Fear of Failure,"Family Pressure / Expectations, Lack of Funding",High,Bootstrapping,Startup India,No,Yes,6.7
STU0139,Information Technology,Third Year,Male,No,Not Interested,Never,Social Impact,2,2,2.0,"AI / Machine Learning, Data Analysis, Cloud / DevOps",Sales,Low,Prefer Job Security,"Lack of Funding, Lack of Business Knowledge",Medium,"Government Grants, Crowdfunding","None, IIT TBI",No,Yes,3.8
STU0140,BBA,Fourth Year,Male,Yes,Neutral,After 2-3 Years of Job,Social Impact,3,4,3.5,AI / Machine Learning,Networking,High,Fear of Failure,Lack of Funding,High,"Bootstrapping, Venture Capital",YCombinator,No,No,7.1
STU0141,Electronics,Fourth Year,Female,No,Very Interested,Right After Graduation,FinTech,3,2,2.5,Programming / Coding,Leadership,Medium,Fear of Failure,Family Pressure / Expectations,Medium,"Crowdfunding, College Incubator","IIM Incubation Cell, None",Yes,No,5.7
STU0142,Computer Science,Second Year,Male,No,Neutral,Right After Graduation,FinTech,5,2,3.5,"App Development, Data Analysis, Cloud / DevOps","Leadership, Marketing",Medium,Family Pressure / Expectations,Unclear Market Opportunity,Low,"Angel Investors, Bootstrapping","IIT TBI, YCombinator",Yes,No,5.2
STU0143,Information Technology,Fourth Year,Male,Yes,Somewhat Interested,During College,AI/ML,5,2,3.5,"App Development, Cybersecurity, Cloud / DevOps",Leadership,Low,No Co-founder / Team,"Lack of Funding, Lack of Business Knowledge",Medium,"Venture Capital, Bootstrapping","IIM Incubation Cell, NASSCOM",Maybe,Yes,6.7
STU0144,Mechanical,Third Year,Prefer not to say,No,Very Interested,After 5+ Years,GreenTech,3,2,2.5,"Data Analysis, Cloud / DevOps","Product Management, Marketing, Communication",High,No Co-founder / Team,"Prefer Job Security, Lack of Funding",High,"Crowdfunding, Venture Capital","IIT TBI, IIM Incubation Cell",Yes,No,6.7
STU0145,Computer Science,Fourth Year,Female,Yes,Neutral,Right After Graduation,FinTech,5,2,3.5,"Web Development, Cloud / DevOps, Cybersecurity","Financial Planning, Networking, Marketing",Medium,Family Pressure / Expectations,Prefer Job Security,Medium,Bootstrapping,"IIM Incubation Cell, Startup India",No,Yes,6.7
STU0146,Mechanical,Fourth Year,Male,Yes,Very Interested,Right After Graduation,E-commerce,4,3,3.5,"AI / Machine Learning, App Development","Networking, Communication",Medium,Fear of Failure,Lack of Funding,Low,Venture Capital,"Startup India, IIM Incubation Cell",Maybe,No,6.7
STU0147,Computer Science,First Year,Female,Yes,Very Interested,During College,FinTech,3,3,3.0,"AI / Machine Learning, Cybersecurity, Programming / Coding","Leadership, Networking",Medium,Lack of Funding,"Prefer Job Security, Fear of Failure",Low,Government Grants,"NASSCOM, Startup India",Maybe,No,6.2
STU0148,Information Technology,First Year,Female,No,Neutral,Never,AI/ML,4,2,3.0,"Cybersecurity, Programming / Coding","Leadership, Marketing, Networking",High,Fear of Failure,"Family Pressure / Expectations, Lack of Business Knowledge",Low,"Venture Capital, Bootstrapping",YCombinator,Maybe,No,5.2
STU0149,Computer Science,Third Year,Male,No,Somewhat Interested,After 2-3 Years of Job,EdTech,3,2,2.5,"AI / Machine Learning, Cybersecurity, Web Development","Product Management, Leadership, Financial Planning",Low,Lack of Funding,Family Pressure / Expectations,Low,College Incubator,"Startup India, NASSCOM",Maybe,No,4.3
STU0150,Mechanical,Fourth Year,Prefer not to say,No,Somewhat Interested,After 2-3 Years of Job,AgriTech,5,3,4.0,"Cloud / DevOps, Programming / Coding",Product Management,Medium,Lack of Funding,"Lack of Business Knowledge, No Co-founder / Team",Medium,Bootstrapping,"Startup India, YCombinator",Yes,Yes,7.1
STU0151,Computer Science,Third Year,Male,Yes,Very Interested,Right After Graduation,FinTech,4,4,4.0,"Cloud / DevOps, Web Development, Programming / Coding",Marketing,Medium,Lack of Funding,Prefer Job Security,High,"Venture Capital, Government Grants",None,Maybe,No,8.1
STU0152,MBA,Third Year,Male,No,Somewhat Interested,During College,Social Impact,3,4,3.5,Cloud / DevOps,"Sales, Networking",Low,Fear of Failure,Lack of Business Knowledge,Medium,Crowdfunding,"IIM Incubation Cell, YCombinator",Maybe,Yes,6.2
STU0153,Computer Science,Third Year,Male,Yes,Not Interested,Never,FinTech,4,3,3.5,"AI / Machine Learning, Data Analysis, Programming / Coding",Product Management,Low,Prefer Job Security,"Family Pressure / Expectations, Lack of a Good Idea",High,"Crowdfunding, Bootstrapping",NASSCOM,Maybe,No,5.7
STU0154,Mechanical,Third Year,Female,Yes,Very Interested,Right After Graduation,EdTech,3,3,3.0,"Web Development, Data Analysis, App Development","Product Management, Leadership",High,Lack of a Good Idea,"Prefer Job Security, Family Pressure / Expectations",Medium,Bootstrapping,IIM Incubation Cell,No,No,7.1
STU0155,Information Technology,Third Year,Female,Yes,Neutral,During College,GreenTech,4,3,3.5,"Programming / Coding, Cloud / DevOps","Product Management, Sales",Medium,Family Pressure / Expectations,"Fear of Failure, Unclear Market Opportunity",Medium,"Venture Capital, Angel Investors",YCombinator,No,No,6.2
STU0156,Information Technology,First Year,Female,Yes,Very Interested,After 2-3 Years of Job,EdTech,4,3,3.5,"App Development, Data Analysis",Financial Planning,Medium,Lack of Funding,Prefer Job Security,Low,"Bootstrapping, Venture Capital",IIT TBI,No,No,6.7
STU0157,MBA,Fourth Year,Male,No,Somewhat Interested,After 5+ Years,E-commerce,3,4,3.5,App Development,Marketing,High,Lack of Funding,"No Co-founder / Team, Lack of Business Knowledge",Low,"Government Grants, Crowdfunding","NASSCOM, None",No,Yes,6.7
STU0158,Computer Science,Third Year,Female,Yes,Very Interested,Right After Graduation,SaaS,4,3,3.5,"Cloud / DevOps, Programming / Coding","Leadership, Product Management",Medium,Fear of Failure,Lack of a Good Idea,Medium,Angel Investors,"IIT TBI, YCombinator",Yes,Yes,7.6
STU0159,Computer Science,Second Year,Female,No,Somewhat Interested,After 5+ Years,Gaming,4,4,4.0,App Development,Sales,Medium,Fear of Failure,"Lack of Business Knowledge, Lack of Funding",High,"College Incubator, Angel Investors",IIT TBI,Maybe,No,7.1
STU0160,Information Technology,Fourth Year,Male,Yes,Neutral,After 2-3 Years of Job,HealthTech,4,2,3.0,AI / Machine Learning,Product Management,Low,Prefer Job Security,"No Co-founder / Team, Lack of a Good Idea",Medium,Crowdfunding,"IIT TBI, Startup India",No,No,5.2
STU0161,Mechanical,First Year,Female,Yes,Somewhat Interested,During College,E-commerce,3,1,2.0,"Data Analysis, Cybersecurity, App Development","Communication, Sales, Networking",Medium,Fear of Failure,Lack of Business Knowledge,Medium,Bootstrapping,IIM Incubation Cell,Maybe,No,5.2
STU0162,Computer Science,First Year,Female,No,Somewhat Interested,During College,FinTech,3,2,2.5,"Web Development, App Development, Programming / Coding","Product Management, Communication",Medium,Fear of Failure,"Unclear Market Opportunity, Lack of a Good Idea",Medium,"Angel Investors, Government Grants","None, Startup India",Maybe,Yes,5.7
STU0163,Computer Science,Fourth Year,Male,No,Somewhat Interested,During College,EdTech,4,2,3.0,"Programming / Coding, Data Analysis, Web Development","Leadership, Networking",Low,Fear of Failure,"No Co-founder / Team, Lack of Funding",Medium,Venture Capital,Startup India,Yes,No,5.2
STU0164,Computer Science,Fourth Year,Male,Yes,Somewhat Interested,After 2-3 Years of Job,Gaming,4,3,3.5,"Data Analysis, AI / Machine Learning","Communication, Marketing, Sales",High,Lack of Funding,"Unclear Market Opportunity, Family Pressure / Expectations",Medium,Venture Capital,NASSCOM,Maybe,No,7.1
STU0165,BBA,Third Year,Female,Yes,Very Interested,After 5+ Years,Social Impact,3,4,3.5,Programming / Coding,"Leadership, Communication",Medium,Fear of Failure,"Lack of a Good Idea, Prefer Job Security",High,"Crowdfunding, Venture Capital","IIT TBI, None",Maybe,Yes,8.1
STU0166,Computer Science,Third Year,Prefer not to say,Yes,Neutral,Right After Graduation,Gaming,4,3,3.5,Web Development,"Leadership, Networking, Sales",Medium,Fear of Failure,Prefer Job Security,Medium,"Crowdfunding, Government Grants","IIM Incubation Cell, None",Maybe,Yes,6.7
STU0167,MBA,Fourth Year,Female,Yes,Somewhat Interested,After 2-3 Years of Job,E-commerce,2,2,2.0,"AI / Machine Learning, Programming / Coding, Cloud / DevOps","Leadership, Communication",High,Fear of Failure,Lack of a Good Idea,Medium,Bootstrapping,"Startup India, YCombinator",Maybe,Yes,6.2
STU0168,Computer Science,Fourth Year,Female,Yes,Very Interested,After 5+ Years,EdTech,2,2,2.0,"AI / Machine Learning, Web Development, Cybersecurity",Leadership,High,Fear of Failure,"Lack of a Good Idea, Family Pressure / Expectations",Medium,Venture Capital,YCombinator,Yes,No,6.2
STU0169,Electronics,Fourth Year,Prefer not to say,Yes,Neutral,After 5+ Years,EdTech,4,3,3.5,"Web Development, App Development, AI / Machine Learning","Product Management, Communication, Marketing",Medium,Lack of Business Knowledge,"Lack of Funding, Family Pressure / Expectations",High,"Venture Capital, College Incubator",IIM Incubation Cell,Maybe,Yes,7.1
STU0170,Computer Science,Third Year,Male,Yes,Not Interested,Never,SaaS,4,3,3.5,App Development,"Leadership, Communication, Marketing",Low,Lack of Business Knowledge,"Prefer Job Security, Fear of Failure",High,College Incubator,IIM Incubation Cell,No,No,5.7
STU0171,Civil,Third Year,Female,No,Neutral,Never,Social Impact,3,3,3.0,"Web Development, Data Analysis, App Development","Financial Planning, Sales, Communication",Low,Prefer Job Security,"Unclear Market Opportunity, Family Pressure / Expectations",High,"Crowdfunding, Venture Capital","IIT TBI, NASSCOM",Maybe,No,5.2
STU0172,Mechanical,Fourth Year,Female,Yes,Somewhat Interested,During College,FinTech,2,2,2.0,"Web Development, Programming / Coding","Sales, Product Management",High,Lack of Funding,"Unclear Market Opportunity, Lack of Business Knowledge",Medium,"College Incubator, Bootstrapping",NASSCOM,Yes,Yes,6.2
STU0173,MBA,Fourth Year,Male,No,Very Interested,After 2-3 Years of Job,EdTech,2,3,2.5,"App Development, Data Analysis, Programming / Coding","Leadership, Financial Planning, Communication",Medium,Lack of a Good Idea,"Family Pressure / Expectations, Unclear Market Opportunity",High,Crowdfunding,"IIT TBI, None",Yes,Yes,6.7
STU0174,Civil,Third Year,Male,Yes,Very Interested,After 2-3 Years of Job,AgriTech,3,3,3.0,Web Development,"Leadership, Financial Planning",Medium,Fear of Failure,Lack of a Good Idea,Low,"Crowdfunding, College Incubator","None, IIT TBI",Maybe,Yes,6.7
STU0175,Mechanical,Second Year,Female,No,Neutral,After 2-3 Years of Job,FinTech,2,3,2.5,"Programming / Coding, Cloud / DevOps, Data Analysis","Financial Planning, Communication, Sales",Low,Family Pressure / Expectations,"Prefer Job Security, Unclear Market Opportunity",Medium,"Angel Investors, Government Grants","YCombinator, NASSCOM",Yes,No,4.3
STU0176,Computer Science,Fourth Year,Male,Yes,Somewhat Interested,During College,FinTech,4,2,3.0,"Cybersecurity, Cloud / DevOps, AI / Machine Learning","Leadership, Financial Planning, Product Management",High,Lack of Funding,"Lack of Business Knowledge, Family Pressure / Expectations",Low,Venture Capital,"YCombinator, Startup India",Maybe,Yes,6.7
STU0177,Computer Science,Third Year,Male,No,Somewhat Interested,After 5+ Years,AI/ML,4,3,3.5,"Cloud / DevOps, Web Development, AI / Machine Learning","Sales, Communication",Low,Lack of a Good Idea,"Unclear Market Opportunity, Fear of Failure",Medium,"Government Grants, Venture Capital","Startup India, IIM Incubation Cell",Maybe,No,5.7
STU0178,Information Technology,Fourth Year,Female,Yes,Very Interested,After 5+ Years,Gaming,4,3,3.5,AI / Machine Learning,"Marketing, Sales, Leadership",Medium,No Co-founder / Team,Lack of a Good Idea,Low,Angel Investors,"None, NASSCOM",Yes,No,6.7
STU0179,Electronics,First Year,Male,No,Somewhat Interested,After 2-3 Years of Job,Gaming,3,3,3.0,"Data Analysis, Programming / Coding","Product Management, Communication, Financial Planning",Medium,Lack of Funding,"Lack of Business Knowledge, Unclear Market Opportunity",Medium,College Incubator,IIM Incubation Cell,Yes,No,5.7
STU0180,Information Technology,Fourth Year,Male,No,Neutral,After 2-3 Years of Job,AgriTech,4,3,3.5,Web Development,"Product Management, Leadership",High,Lack of Business Knowledge,Lack of Funding,Medium,Bootstrapping,None,Maybe,Yes,6.7
STU0181,Electronics,Third Year,Female,Yes,Not Interested,Never,E-commerce,3,3,3.0,"Web Development, Cybersecurity, Data Analysis","Sales, Networking",Medium,Prefer Job Security,Family Pressure / Expectations,Low,Crowdfunding,IIM Incubation Cell,No,Yes,5.2
STU0182,MBA,Fourth Year,Female,No,Very Interested,After 5+ Years,Social Impact,2,4,3.0,"Cybersecurity, Data Analysis",Networking,High,Lack of a Good Idea,Fear of Failure,Medium,"Bootstrapping, College Incubator","NASSCOM, IIT TBI",Yes,No,6.7
STU0183,Information Technology,Second Year,Male,Yes,Neutral,After 2-3 Years of Job,E-commerce,4,2,3.0,AI / Machine Learning,"Leadership, Product Management",Medium,Family Pressure / Expectations,"Lack of Business Knowledge, Prefer Job Security",High,"Venture Capital, Angel Investors","IIT TBI, YCombinator",No,No,6.2
STU0184,Computer Science,Fourth Year,Female,Yes,Somewhat Interested,After 2-3 Years of Job,Gaming,4,3,3.5,Cloud / DevOps,"Product Management, Sales",Medium,Fear of Failure,Family Pressure / Expectations,Low,"Venture Capital, Crowdfunding",IIM Incubation Cell,No,Yes,6.7
STU0185,Computer Science,Second Year,Male,No,Neutral,After 2-3 Years of Job,FinTech,4,3,3.5,"Cybersecurity, Cloud / DevOps, Web Development","Communication, Sales",Low,Family Pressure / Expectations,Fear of Failure,High,Angel Investors,NASSCOM,Maybe,No,5.7
STU0186,Civil,Third Year,Male,No,Somewhat Interested,Never,AI/ML,3,2,2.5,"Data Analysis, Programming / Coding","Leadership, Financial Planning",Low,Lack of Funding,No Co-founder / Team,Low,"Crowdfunding, College Incubator","Startup India, None",No,No,4.3
STU0187,Mechanical,First Year,Male,Yes,Somewhat Interested,After 2-3 Years of Job,AI/ML,2,3,2.5,"AI / Machine Learning, Cloud / DevOps, Data Analysis",Product Management,Medium,Lack of Funding,Family Pressure / Expectations,Low,"Angel Investors, Government Grants",NASSCOM,Maybe,No,5.2
STU0188,Electronics,Second Year,Male,No,Not Interested,Never,AI/ML,4,3,3.5,"AI / Machine Learning, Cybersecurity, App Development",Financial Planning,Medium,Family Pressure / Expectations,"Unclear Market Opportunity, Lack of Funding",Low,Government Grants,NASSCOM,No,No,4.8
STU0189,Information Technology,Third Year,Female,Yes,Very Interested,After 2-3 Years of Job,FinTech,3,3,3.0,"Web Development, App Development, Data Analysis",Product Management,Medium,Lack of a Good Idea,"No Co-founder / Team, Unclear Market Opportunity",Medium,"Crowdfunding, Venture Capital",YCombinator,Maybe,Yes,7.1
STU0190,Information Technology,Fourth Year,Male,No,Neutral,Right After Graduation,E-commerce,5,3,4.0,Programming / Coding,"Communication, Financial Planning, Networking",Medium,Prefer Job Security,No Co-founder / Team,High,"Crowdfunding, Government Grants",IIT TBI,No,No,6.7
STU0191,Civil,First Year,Female,Yes,Somewhat Interested,After 5+ Years,AgriTech,2,2,2.0,Cloud / DevOps,"Leadership, Marketing, Communication",Medium,Lack of Funding,Unclear Market Opportunity,Low,Crowdfunding,"IIM Incubation Cell, NASSCOM",No,No,4.8
STU0192,MBA,Fourth Year,Male,No,Somewhat Interested,After 2-3 Years of Job,SaaS,2,4,3.0,App Development,"Product Management, Sales",Low,Fear of Failure,"No Co-founder / Team, Lack of Business Knowledge",Medium,"Bootstrapping, Angel Investors",NASSCOM,No,Yes,5.7
STU0193,Information Technology,Fourth Year,Male,Yes,Not Interested,Never,FinTech,3,3,3.0,"AI / Machine Learning, Cloud / DevOps",Communication,High,Prefer Job Security,Lack of Funding,High,"Bootstrapping, Venture Capital",IIM Incubation Cell,No,Yes,6.7
STU0194,Information Technology,Fourth Year,Female,Yes,Very Interested,After 5+ Years,AgriTech,4,2,3.0,"Cloud / DevOps, Cybersecurity, Web Development","Leadership, Networking",Low,Fear of Failure,"Lack of a Good Idea, Prefer Job Security",Low,College Incubator,"NASSCOM, IIM Incubation Cell",Maybe,No,5.7
STU0195,Electronics,Second Year,Male,No,Somewhat Interested,During College,Social Impact,3,4,3.5,"Web Development, App Development, Data Analysis","Financial Planning, Marketing, Product Management",Medium,Fear of Failure,"Lack of Funding, Lack of a Good Idea",Low,"Crowdfunding, Government Grants","NASSCOM, YCombinator",Maybe,Yes,6.2
STU0196,Mechanical,Fourth Year,Male,No,Somewhat Interested,After 2-3 Years of Job,AI/ML,3,3,3.0,"AI / Machine Learning, Data Analysis","Financial Planning, Product Management",Medium,Fear of Failure,Lack of a Good Idea,Low,"Crowdfunding, Bootstrapping",IIM Incubation Cell,No,No,5.2
STU0197,Computer Science,Second Year,Male,No,Not Interested,Never,SaaS,3,2,2.5,Programming / Coding,"Marketing, Leadership, Communication",Low,Family Pressure / Expectations,Fear of Failure,Medium,Government Grants,IIT TBI,No,No,3.8
STU0198,Mechanical,Fourth Year,Male,Yes,Not Interested,Never,GreenTech,4,2,3.0,Cybersecurity,Financial Planning,Low,Family Pressure / Expectations,"Fear of Failure, Lack of Business Knowledge",High,"Crowdfunding, College Incubator","IIT TBI, YCombinator",Yes,Yes,5.7
STU0199,Electronics,Second Year,Female,No,Somewhat Interested,Never,HealthTech,3,3,3.0,Cloud / DevOps,"Financial Planning, Leadership, Sales",Medium,No Co-founder / Team,"Fear of Failure, Lack of a Good Idea",Low,College Incubator,"IIM Incubation Cell, YCombinator",No,No,5.2
STU0200,Civil,Fourth Year,Female,No,Not Interested,Never,AI/ML,3,3,3.0,AI / Machine Learning,"Product Management, Leadership, Communication",Medium,Prefer Job Security,"No Co-founder / Team, Family Pressure / Expectations",Low,"Angel Investors, Venture Capital","None, NASSCOM",No,No,4.3
